 Sample   Time     Encoder 1 Pos   Encoder 2 Pos   Control Effort
   269    2.382               0               0          0.0000;
   270    2.391               0               0          0.0000;
   271    2.399               0               0          0.0000;
   272    2.408               0               0          0.0000;
   273    2.417               0               0          0.0000;
   274    2.426               0               0          0.0000;
   275    2.435               0               0          0.0000;
   276    2.444               0               0          0.0000;
   277    2.453               0               0          0.0000;
   278    2.461               0               0          0.0000;
   279    2.470               0               0          0.0000;
   280    2.479               0               0          0.0000;
   281    2.488               0               0          0.0000;
   282    2.497               0               0          0.0000;
   283    2.506               0               0          0.0000;
   284    2.515               0               0          0.0000;
   285    2.523               0               0          0.0000;
   286    2.532               0               0          0.0000;
   287    2.541               0               0          0.0000;
   288    2.550               0               0          0.0000;
   289    2.559               0               0          0.0000;
   290    2.568               0               0          0.0000;
   291    2.577               0               0          0.0000;
   292    2.585               0               0          0.0000;
   293    2.594               0               0          0.0000;
   294    2.603               0               0          0.0000;
   295    2.612               0               0          0.0000;
   296    2.621               0               0          0.0000;
   297    2.630               0               0          0.0000;
   298    2.639               0               0          0.0000;
   299    2.647               0               0          0.0000;
   300    2.656               0               0          0.0000;
   301    2.665               0               0          0.0000;
   302    2.674               0               0          0.0000;
   303    2.683               0               0          0.0000;
   304    2.692               0               0          0.0000;
   305    2.701               0               0          0.0000;
   306    2.709               0               0          0.0000;
   307    2.718               0               0          0.0000;
   308    2.727               0               0          0.0000;
   309    2.736               0               0          0.0000;
   310    2.745               0               0          0.0000;
   311    2.754               0               0          0.0000;
   312    2.763               0               0          0.0000;
   313    2.771               0               0          0.0000;
   314    2.780               0               0          0.0000;
   315    2.789               0               0          0.0000;
   316    2.798               0               0          0.0000;
   317    2.807               0               0          0.0000;
   318    2.816               0               0          0.0000;
   319    2.824               0               0          0.0000;
   320    2.833               0               0          0.0000;
   321    2.842               0               0          0.0000;
   322    2.851               0               0          0.0000;
   323    2.860               0               0          0.0000;
   324    2.869               0               0          0.0000;
   325    2.878               0               0          0.0000;
   326    2.886               0               0          0.0000;
   327    2.895               0               0          0.0000;
   328    2.904               0               0          0.0000;
   329    2.913               0               0          0.0000;
   330    2.922               0               7          0.0000;
   331    2.931               0              43          0.0000;
   332    2.940               0             102          0.0000;
   333    2.948               0             168          0.0000;
   334    2.957               0             232          0.0000;
   335    2.966               1             292          0.0000;
   336    2.975               1             340          0.0000;
   337    2.984               1             372          0.0000;
   338    2.993               1             385          0.0000;
   339    3.002               1             380          0.0000;
   340    3.010               1             357          0.0000;
   341    3.019               1             317          0.0000;
   342    3.028               1             262          0.0000;
   343    3.037               0             195          0.0000;
   344    3.046               0             119          0.0000;
   345    3.055               0              38          0.0000;
   346    3.064               0             -44          0.0000;
   347    3.072               0            -124          0.0000;
   348    3.081               0            -196          0.0000;
   349    3.090               0            -259          0.0000;
