 Sample   Time     Encoder 1 Pos   Encoder 2 Pos   Control Effort
   293    2.594              -1               0          0.0000;
   294    2.603              -1               0          0.0000;
   295    2.612              -1               0          0.0000;
   296    2.621              -1               0          0.0000;
   297    2.630              -1               0          0.0000;
   298    2.639              -1               0          0.0000;
   299    2.647              -1               0          0.0000;
   300    2.656              -1               0          0.0000;
   301    2.665              -1               0          0.0000;
   302    2.674              -1               0          0.0000;
   303    2.683              -1               0          0.0000;
   304    2.692              -1               0          0.0000;
   305    2.701              -1               0          0.0000;
   306    2.709              -1               0          0.0000;
   307    2.718              -1               0          0.0000;
   308    2.727              -1               0          0.0000;
   309    2.736              -1               0          0.0000;
   310    2.745              -1               0          0.0000;
   311    2.754              -1               0          0.0000;
   312    2.763              -1               0          0.0000;
   313    2.771              -1               2          0.0000;
   314    2.780              -1              17          0.0000;
   315    2.789              -1              45          0.0000;
   316    2.798              -1              86          0.0000;
   317    2.807              -1             136          0.0000;
   318    2.816               0             192          0.0000;
   319    2.824               0             250          0.0000;
   320    2.833               0             303          0.0000;
   321    2.842               0             346          0.0000;
   322    2.851               0             374          0.0000;
   323    2.860               0             383          0.0000;
   324    2.869               0             374          0.0000;
   325    2.878               0             347          0.0000;
   326    2.886               0             303          0.0000;
   327    2.895               0             246          0.0000;
   328    2.904              -1             178          0.0000;
   329    2.913              -1             101          0.0000;
   330    2.922              -1              21          0.0000;
   331    2.931              -1             -60          0.0000;
   332    2.940              -1            -137          0.0000;
   333    2.948              -1            -207          0.0000;
   334    2.957              -2            -266          0.0000;
   335    2.966              -2            -312          0.0000;
   336    2.975              -2            -342          0.0000;
   337    2.984              -3            -355          0.0000;
   338    2.993              -4            -351          0.0000;
   339    3.002              -5            -330          0.0000;
   340    3.010              -6            -293          0.0000;
   341    3.019              -4            -242          0.0000;
   342    3.028              -2            -181          0.0000;
   343    3.037              -1            -110          0.0000;
   344    3.046              -1             -35          0.0000;
   345    3.055              -1              41          0.0000;
   346    3.064               0             115          0.0000;
   347    3.072              -1             183          0.0000;
   348    3.081              -1             242          0.0000;
   349    3.090               0             289          0.0000;
   350    3.099               0             321          0.0000;
   351    3.108               0             338          0.0000;
   352    3.117               0             338          0.0000;
   353    3.126               0             322          0.0000;
   354    3.134               0             291          0.0000;
   355    3.143               0             246          0.0000;
   356    3.152              -1             190          0.0000;
   357    3.161              -1             126          0.0000;
   358    3.170              -1              55          0.0000;
   359    3.179              -1             -17          0.0000;
   360    3.188              -1             -87          0.0000;
   361    3.196              -1            -153          0.0000;
   362    3.205              -1            -211          0.0000;
   363    3.214              -2            -258          0.0000;
   364    3.223              -2            -291          0.0000;
   365    3.232              -2            -311          0.0000;
   366    3.241              -2            -316          0.0000;
   367    3.249              -2            -303          0.0000;
   368    3.258              -2            -277          0.0000;
   369    3.267              -2            -238          0.0000;
   370    3.276              -3            -187          0.0000;
   371    3.285              -1            -127          0.0000;
   372    3.294              -1             -62          0.0000;
   373    3.303              -1               6          0.0000;
   374    3.311              -1              74          0.0000;
   375    3.320              -1             137          0.0000;
   376    3.329              -1             194          0.0000;
   377    3.338              -1             240          0.0000;
   378    3.347              -0             275          0.0000;
   379    3.356              -0             296          0.0000;
   380    3.365              -0             303          0.0000;
   381    3.373               0             295          0.0000;
   382    3.382               0             273          0.0000;
   383    3.391               0             238          0.0000;
   384    3.400               0             192          0.0000;
   385    3.409              -1             138          0.0000;
   386    3.418              -1              77          0.0000;
   387    3.427              -1              13          0.0000;
   388    3.435              -1             -51          0.0000;
   389    3.444              -1            -112          0.0000;
   390    3.453              -1            -167          0.0000;
   391    3.462              -1            -213          0.0000;
   392    3.471              -1            -248          0.0000;
   393    3.480              -2            -271          0.0000;
   394    3.489              -2            -280          0.0000;
   395    3.497              -2            -275          0.0000;
   396    3.506              -2            -257          0.0000;
   397    3.515              -1            -226          0.0000;
   398    3.524              -1            -185          0.0000;
   399    3.533              -1            -134          0.0000;
